Layer,M,N,K,
Masked_MH_get_V_head21,64,128,12288,
Masked_MH_QxKT_head21,64,64,128,
Masked_MH_QxKTxV_head21,64,128,64,
Masked_MH_get_Q_head22,64,128,12288,
Masked_MH_get_K_head22,64,128,12288,
Masked_MH_get_V_head22,64,128,12288,
Masked_MH_QxKT_head22,64,64,128,
Masked_MH_QxKTxV_head22,64,128,64,
Masked_MH_get_Q_head23,64,128,12288,
Masked_MH_get_K_head23,64,128,12288,
Masked_MH_get_V_head23,64,128,12288,
Masked_MH_QxKT_head23,64,64,128,
Masked_MH_QxKTxV_head23,64,128,64,
Masked_MH_get_Q_head24,64,128,12288,
Masked_MH_get_K_head24,64,128,12288,
Masked_MH_get_V_head24,64,128,12288,
Masked_MH_QxKT_head24,64,64,128,
Masked_MH_QxKTxV_head24,64,128,64,
Masked_MH_get_Q_head25,64,128,12288,
Masked_MH_get_K_head25,64,128,12288,
Masked_MH_get_V_head25,64,128,12288,
Masked_MH_QxKT_head25,64,64,128,
Masked_MH_QxKTxV_head25,64,128,64,
Masked_MH_get_Q_head26,64,128,12288,
Masked_MH_get_K_head26,64,128,12288,
Masked_MH_get_V_head26,64,128,12288,
Masked_MH_QxKT_head26,64,64,128,
Masked_MH_QxKTxV_head26,64,128,64,
Masked_MH_get_Q_head27,64,128,12288,
Masked_MH_get_K_head27,64,128,12288,
Masked_MH_get_V_head27,64,128,12288,
Masked_MH_QxKT_head27,64,64,128,
Masked_MH_QxKTxV_head27,64,128,64,
Masked_MH_get_Q_head28,64,128,12288,
Masked_MH_get_K_head28,64,128,12288,
Masked_MH_get_V_head28,64,128,12288,
Masked_MH_QxKT_head28,64,64,128,
Masked_MH_QxKTxV_head28,64,128,64,
Masked_MH_get_Q_head29,64,128,12288,
Masked_MH_get_K_head29,64,128,12288,
Masked_MH_get_V_head29,64,128,12288,
Masked_MH_QxKT_head29,64,64,128,
Masked_MH_QxKTxV_head29,64,128,64,
Masked_MH_get_Q_head30,64,128,12288,
Masked_MH_get_K_head30,64,128,12288,
Masked_MH_get_V_head30,64,128,12288,
Masked_MH_QxKT_head30,64,64,128,
Masked_MH_QxKTxV_head30,64,128,64,
Masked_MH_get_Q_head31,64,128,12288,
Masked_MH_get_K_head31,64,128,12288,
Masked_MH_get_V_head31,64,128,12288,
Masked_MH_QxKT_head31,64,64,128,
Masked_MH_QxKTxV_head31,64,128,64,
Masked_MH_get_Q_head32,64,128,12288,
Masked_MH_get_K_head32,64,128,12288,
Masked_MH_get_V_head32,64,128,12288,
Masked_MH_QxKT_head32,64,64,128,
Masked_MH_QxKTxV_head32,64,128,64,
Masked_MH_get_Q_head33,64,128,12288,
Masked_MH_get_K_head33,64,128,12288,
Masked_MH_get_V_head33,64,128,12288,
Masked_MH_QxKT_head33,64,64,128,
Masked_MH_QxKTxV_head33,64,128,64,
Masked_MH_get_Q_head34,64,128,12288,
Masked_MH_get_K_head34,64,128,12288,
Masked_MH_get_V_head34,64,128,12288,
Masked_MH_QxKT_head34,64,64,128,
Masked_MH_QxKTxV_head34,64,128,64,
Masked_MH_get_Q_head35,64,128,12288,
Masked_MH_get_K_head35,64,128,12288,
Masked_MH_get_V_head35,64,128,12288,
Masked_MH_QxKT_head35,64,64,128,
Masked_MH_QxKTxV_head35,64,128,64,
Masked_MH_get_Q_head36,64,128,12288,
Masked_MH_get_K_head36,64,128,12288,
Masked_MH_get_V_head36,64,128,12288,
Masked_MH_QxKT_head36,64,64,128,
Masked_MH_QxKTxV_head36,64,128,64,
Masked_MH_get_Q_head37,64,128,12288,
Masked_MH_get_K_head37,64,128,12288,
Masked_MH_get_V_head37,64,128,12288,
Masked_MH_QxKT_head37,64,64,128,
Masked_MH_QxKTxV_head37,64,128,64,
Masked_MH_get_Q_head38,64,128,12288,
Masked_MH_get_K_head38,64,128,12288,
Masked_MH_get_V_head38,64,128,12288,
Masked_MH_QxKT_head38,64,64,128,
Masked_MH_QxKTxV_head38,64,128,64,
Masked_MH_get_Q_head39,64,128,12288,
Masked_MH_get_K_head39,64,128,12288,
Masked_MH_get_V_head39,64,128,12288,
Masked_MH_QxKT_head39,64,64,128,
Masked_MH_QxKTxV_head39,64,128,64,
Masked_MH_get_Q_head40,64,128,12288,
Masked_MH_get_K_head40,64,128,12288,
Masked_MH_get_V_head40,64,128,12288,
Masked_MH_QxKT_head40,64,64,128,
Masked_MH_QxKTxV_head40,64,128,64,
Masked_MH_get_Q_head41,64,128,12288,
Masked_MH_get_K_head41,64,128,12288,
Masked_MH_get_V_head41,64,128,12288,
Masked_MH_QxKT_head41,64,64,128,
Masked_MH_QxKTxV_head41,64,128,64,
Masked_MH_get_Q_head42,64,128,12288,
Masked_MH_get_K_head42,64,128,12288,
Masked_MH_get_V_head42,64,128,12288,
Masked_MH_QxKT_head42,64,64,128,
Masked_MH_QxKTxV_head42,64,128,64,
Masked_MH_get_Q_head43,64,128,12288,
Masked_MH_get_K_head43,64,128,12288,
Masked_MH_get_V_head43,64,128,12288,
Masked_MH_QxKT_head43,64,64,128,
Masked_MH_QxKTxV_head43,64,128,64,
Masked_MH_get_Q_head44,64,128,12288,
Masked_MH_get_K_head44,64,128,12288,
Masked_MH_get_V_head44,64,128,12288,
Masked_MH_QxKT_head44,64,64,128,
Masked_MH_QxKTxV_head44,64,128,64,
Masked_MH_get_Q_head45,64,128,12288,
Masked_MH_get_K_head45,64,128,12288,
Masked_MH_get_V_head45,64,128,12288,
Masked_MH_QxKT_head45,64,64,128,
Masked_MH_QxKTxV_head45,64,128,64,
Masked_MH_get_Q_head46,64,128,12288,
Masked_MH_get_K_head46,64,128,12288,
Masked_MH_get_V_head46,64,128,12288,
Masked_MH_QxKT_head46,64,64,128,
Masked_MH_QxKTxV_head46,64,128,64,
Masked_MH_get_Q_head47,64,128,12288,
Masked_MH_get_K_head47,64,128,12288,
Masked_MH_get_V_head47,64,128,12288,
Masked_MH_QxKT_head47,64,64,128,
Masked_MH_QxKTxV_head47,64,128,64,
Masked_MH_get_Q_head48,64,128,12288,
Masked_MH_get_K_head48,64,128,12288,
Masked_MH_get_V_head48,64,128,12288,
Masked_MH_QxKT_head48,64,64,128,
Masked_MH_QxKTxV_head48,64,128,64,
Masked_MH_get_Q_head49,64,128,12288,
Masked_MH_get_K_head49,64,128,12288,
Masked_MH_get_V_head49,64,128,12288,
Masked_MH_QxKT_head49,64,64,128,
Masked_MH_QxKTxV_head49,64,128,64,
Masked_MH_get_Q_head50,64,128,12288,
Masked_MH_get_K_head50,64,128,12288,
Masked_MH_get_V_head50,64,128,12288,
Masked_MH_QxKT_head50,64,64,128,
Masked_MH_QxKTxV_head50,64,128,64,
Masked_MH_get_Q_head51,64,128,12288,
Masked_MH_get_K_head51,64,128,12288,
Masked_MH_get_V_head51,64,128,12288,
Masked_MH_QxKT_head51,64,64,128,
Masked_MH_QxKTxV_head51,64,128,64,
Masked_MH_get_Q_head52,64,128,12288,
Masked_MH_get_K_head52,64,128,12288,
Masked_MH_get_V_head52,64,128,12288,
Masked_MH_QxKT_head52,64,64,128,
Masked_MH_QxKTxV_head52,64,128,64,
Masked_MH_get_Q_head53,64,128,12288,
Masked_MH_get_K_head53,64,128,12288,
Masked_MH_get_V_head53,64,128,12288,
Masked_MH_QxKT_head53,64,64,128,
Masked_MH_QxKTxV_head53,64,128,64,
Masked_MH_get_Q_head54,64,128,12288,
Masked_MH_get_K_head54,64,128,12288,
Masked_MH_get_V_head54,64,128,12288,
Masked_MH_QxKT_head54,64,64,128,
Masked_MH_QxKTxV_head54,64,128,64,
Masked_MH_get_Q_head55,64,128,12288,
Masked_MH_get_K_head55,64,128,12288,
Masked_MH_get_V_head55,64,128,12288,
Masked_MH_QxKT_head55,64,64,128,
Masked_MH_QxKTxV_head55,64,128,64,
Masked_MH_get_Q_head56,64,128,12288,
Masked_MH_get_K_head56,64,128,12288,
Masked_MH_get_V_head56,64,128,12288,
Masked_MH_QxKT_head56,64,64,128,
Masked_MH_QxKTxV_head56,64,128,64,
Masked_MH_get_Q_head57,64,128,12288,
Masked_MH_get_K_head57,64,128,12288,
Masked_MH_get_V_head57,64,128,12288,
Masked_MH_QxKT_head57,64,64,128,
Masked_MH_QxKTxV_head57,64,128,64,
Masked_MH_get_Q_head58,64,128,12288,
Masked_MH_get_K_head58,64,128,12288,
Masked_MH_get_V_head58,64,128,12288,
Masked_MH_QxKT_head58,64,64,128,
Masked_MH_QxKTxV_head58,64,128,64,
Masked_MH_get_Q_head59,64,128,12288,
Masked_MH_get_K_head59,64,128,12288,
Masked_MH_get_V_head59,64,128,12288,
Masked_MH_QxKT_head59,64,64,128,
Masked_MH_QxKTxV_head59,64,128,64,
Masked_MH_get_Q_head60,64,128,12288,
Masked_MH_get_K_head60,64,128,12288,
Masked_MH_get_V_head60,64,128,12288,
Masked_MH_QxKT_head60,64,64,128,
Masked_MH_QxKTxV_head60,64,128,64,
Masked_MH_get_Q_head61,64,128,12288,
Masked_MH_get_K_head61,64,128,12288,
Masked_MH_get_V_head61,64,128,12288,
Masked_MH_QxKT_head61,64,64,128,
Masked_MH_QxKTxV_head61,64,128,64,
Masked_MH_get_Q_head62,64,128,12288,
Masked_MH_get_K_head62,64,128,12288,
Masked_MH_get_V_head62,64,128,12288,
Masked_MH_QxKT_head62,64,64,128,
Masked_MH_QxKTxV_head62,64,128,64,
Masked_MH_get_Q_head63,64,128,12288,
Masked_MH_get_K_head63,64,128,12288,
Masked_MH_get_V_head63,64,128,12288,
Masked_MH_QxKT_head63,64,64,128,
Masked_MH_QxKTxV_head63,64,128,64,
Masked_MH_get_Q_head64,64,128,12288,
Masked_MH_get_K_head64,64,128,12288,
Masked_MH_get_V_head64,64,128,12288,
Masked_MH_QxKT_head64,64,64,128,
Masked_MH_QxKTxV_head64,64,128,64,
Masked_MH_get_Q_head65,64,128,12288,
Masked_MH_get_K_head65,64,128,12288,
Masked_MH_get_V_head65,64,128,12288,
Masked_MH_QxKT_head65,64,64,128,
Masked_MH_QxKTxV_head65,64,128,64,
Masked_MH_get_Q_head66,64,128,12288,
Masked_MH_get_K_head66,64,128,12288,
Masked_MH_get_V_head66,64,128,12288,
Masked_MH_QxKT_head66,64,64,128,
Masked_MH_QxKTxV_head66,64,128,64,
Masked_MH_get_Q_head67,64,128,12288,
Masked_MH_get_K_head67,64,128,12288,
Masked_MH_get_V_head67,64,128,12288,
Masked_MH_QxKT_head67,64,64,128,
Masked_MH_QxKTxV_head67,64,128,64,
Masked_MH_get_Q_head68,64,128,12288,
Masked_MH_get_K_head68,64,128,12288,
Masked_MH_get_V_head68,64,128,12288,
Masked_MH_QxKT_head68,64,64,128,
Masked_MH_QxKTxV_head68,64,128,64,
Masked_MH_get_Q_head69,64,128,12288,
Masked_MH_get_K_head69,64,128,12288,
Masked_MH_get_V_head69,64,128,12288,
Masked_MH_QxKT_head69,64,64,128,
Masked_MH_QxKTxV_head69,64,128,64,
Masked_MH_get_Q_head70,64,128,12288,
Masked_MH_get_K_head70,64,128,12288,
Masked_MH_get_V_head70,64,128,12288,
Masked_MH_QxKT_head70,64,64,128,
Masked_MH_QxKTxV_head70,64,128,64,
Masked_MH_get_Q_head71,64,128,12288,
Masked_MH_get_K_head71,64,128,12288,
Masked_MH_get_V_head71,64,128,12288,
Masked_MH_QxKT_head71,64,64,128,
Masked_MH_QxKTxV_head71,64,128,64,
Masked_MH_get_Q_head72,64,128,12288,
Masked_MH_get_K_head72,64,128,12288,
Masked_MH_get_V_head72,64,128,12288,
Masked_MH_QxKT_head72,64,64,128,
Masked_MH_QxKTxV_head72,64,128,64,
Masked_MH_get_Q_head73,64,128,12288,
Masked_MH_get_K_head73,64,128,12288,
Masked_MH_get_V_head73,64,128,12288,
Masked_MH_QxKT_head73,64,64,128,
Masked_MH_QxKTxV_head73,64,128,64,
Masked_MH_get_Q_head74,64,128,12288,
Masked_MH_get_K_head74,64,128,12288,
Masked_MH_get_V_head74,64,128,12288,
Masked_MH_QxKT_head74,64,64,128,
Masked_MH_QxKTxV_head74,64,128,64,
Masked_MH_get_Q_head75,64,128,12288,
Masked_MH_get_K_head75,64,128,12288,
Masked_MH_get_V_head75,64,128,12288,
Masked_MH_QxKT_head75,64,64,128,
Masked_MH_QxKTxV_head75,64,128,64,
Masked_MH_get_Q_head76,64,128,12288,
Masked_MH_get_K_head76,64,128,12288,
Masked_MH_get_V_head76,64,128,12288,
Masked_MH_QxKT_head76,64,64,128,
Masked_MH_QxKTxV_head76,64,128,64,
Masked_MH_get_Q_head77,64,128,12288,
Masked_MH_get_K_head77,64,128,12288,
Masked_MH_get_V_head77,64,128,12288,
Masked_MH_QxKT_head77,64,64,128,
Masked_MH_QxKTxV_head77,64,128,64,
Masked_MH_get_Q_head78,64,128,12288,
Masked_MH_get_K_head78,64,128,12288,
Masked_MH_get_V_head78,64,128,12288,
Masked_MH_QxKT_head78,64,64,128,
Masked_MH_QxKTxV_head78,64,128,64,
Masked_MH_get_Q_head79,64,128,12288,
Masked_MH_get_K_head79,64,128,12288,
Masked_MH_get_V_head79,64,128,12288,
Masked_MH_QxKT_head79,64,64,128,
Masked_MH_QxKTxV_head79,64,128,64,
Masked_MH_get_Q_head80,64,128,12288,
Masked_MH_get_K_head80,64,128,12288,
Masked_MH_get_V_head80,64,128,12288,
Masked_MH_QxKT_head80,64,64,128,
Masked_MH_QxKTxV_head80,64,128,64,
Masked_MH_get_Q_head81,64,128,12288,
Masked_MH_get_K_head81,64,128,12288,
Masked_MH_get_V_head81,64,128,12288,
Masked_MH_QxKT_head81,64,64,128,
Masked_MH_QxKTxV_head81,64,128,64,
Masked_MH_get_Q_head82,64,128,12288,
Masked_MH_get_K_head82,64,128,12288,
Masked_MH_get_V_head82,64,128,12288,
Masked_MH_QxKT_head82,64,64,128,
Masked_MH_QxKTxV_head82,64,128,64,
Masked_MH_get_Q_head83,64,128,12288,
Masked_MH_get_K_head83,64,128,12288,
Masked_MH_get_V_head83,64,128,12288,
Masked_MH_QxKT_head83,64,64,128,
Masked_MH_QxKTxV_head83,64,128,64,
Masked_MH_get_Q_head84,64,128,12288,
Masked_MH_get_K_head84,64,128,12288,
Masked_MH_get_V_head84,64,128,12288,
Masked_MH_QxKT_head84,64,64,128,
Masked_MH_QxKTxV_head84,64,128,64,
Masked_MH_get_Q_head85,64,128,12288,
Masked_MH_get_K_head85,64,128,12288,
Masked_MH_get_V_head85,64,128,12288,
Masked_MH_QxKT_head85,64,64,128,
Masked_MH_QxKTxV_head85,64,128,64,
Masked_MH_get_Q_head86,64,128,12288,
Masked_MH_get_K_head86,64,128,12288,
Masked_MH_get_V_head86,64,128,12288,
Masked_MH_QxKT_head86,64,64,128,
Masked_MH_QxKTxV_head86,64,128,64,
Masked_MH_get_Q_head87,64,128,12288,
Masked_MH_get_K_head87,64,128,12288,
Masked_MH_get_V_head87,64,128,12288,
Masked_MH_QxKT_head87,64,64,128,
Masked_MH_QxKTxV_head87,64,128,64,
Masked_MH_get_Q_head88,64,128,12288,
Masked_MH_get_K_head88,64,128,12288,
Masked_MH_get_V_head88,64,128,12288,
Masked_MH_QxKT_head88,64,64,128,
Masked_MH_QxKTxV_head88,64,128,64,
Masked_MH_get_Q_head89,64,128,12288,
Masked_MH_get_K_head89,64,128,12288,
Masked_MH_get_V_head89,64,128,12288,
Masked_MH_QxKT_head89,64,64,128,
Masked_MH_QxKTxV_head89,64,128,64,
Masked_MH_get_Q_head90,64,128,12288,
Masked_MH_get_K_head90,64,128,12288,
Masked_MH_get_V_head90,64,128,12288,
Masked_MH_QxKT_head90,64,64,128,
Masked_MH_QxKTxV_head90,64,128,64,
Masked_MH_get_Q_head91,64,128,12288,
Masked_MH_get_K_head91,64,128,12288,
Masked_MH_get_V_head91,64,128,12288,
Masked_MH_QxKT_head91,64,64,128,
Masked_MH_QxKTxV_head91,64,128,64,
Masked_MH_get_Q_head92,64,128,12288,
Masked_MH_get_K_head92,64,128,12288,
Masked_MH_get_V_head92,64,128,12288,
Masked_MH_QxKT_head92,64,64,128,
Masked_MH_QxKTxV_head92,64,128,64,
Masked_MH_get_Q_head93,64,128,12288,
Masked_MH_get_K_head93,64,128,12288,
Masked_MH_get_V_head93,64,128,12288,
Masked_MH_QxKT_head93,64,64,128,
Masked_MH_QxKTxV_head93,64,128,64,
Masked_MH_get_Q_head94,64,128,12288,
Masked_MH_get_K_head94,64,128,12288,
Masked_MH_get_V_head94,64,128,12288,
Masked_MH_QxKT_head94,64,64,128,
Masked_MH_QxKTxV_head94,64,128,64,
Masked_MH_get_Q_head95,64,128,12288,
Masked_MH_get_K_head95,64,128,12288,
Masked_MH_get_V_head95,64,128,12288,
Masked_MH_QxKT_head95,64,64,128,
Masked_MH_QxKTxV_head95,64,128,64,
Masked_MH_Concat_Linear,64,12288,12288,
FF1,64,12288,49152,
FF2,64,49152,12288,
